Product_name,Price
"POCO C55 (Cool Blue, 64 GB)","₹9,499"
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"POCO C55 (Forest Green, 64 GB)","₹9,499"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499"
"REDMI A2 (Classic Black, 64 GB)","₹8,990"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,499"
"realme C63 (Jade Green, 64 GB)","₹8,499"
"POCO C65 (Pastel Green, 256 GB)","₹10,999"
"realme C63 (Leather Blue, 64 GB)","₹8,499"
"vivo Y18t (Space Black, 128 GB)","₹8,499"
"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499"
"Motorola G32 (Satin Maroon, 128 GB)","₹10,999"
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹11,499"
"realme NARZO N63 (Leather Blue, 64 GB)","₹7,354"
"POCO C65 (Matte Black, 128 GB)","₹9,499"
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹9,999"
"REDMI 13C (Starshine Green, 128 GB)","₹9,999"
"REDMI 13C (Starfrost White, 128 GB)","₹7,649"
"REDMI 12 (Pastel Blue, 128 GB)","₹9,999"
"POCO M6 5G (Galactic Black, 128 GB)","₹11,499"
"REDMI 12 (Jade Black, 128 GB)","₹9,999"
"realme C25s (Watery Blue, 128 GB)","₹9,999"
"POCO C65 (Pastel Blue, 256 GB)","₹10,999"
"REDMI A3 (Midnight Black, 128 GB)","₹8,399"
"POCO M6 5G (Galactic Black, 128 GB)","₹9,580"
"REDMI 13C (Stardust Black, 128 GB)","₹9,999"
"vivo Y02 (Sunset Gold, 32 GB)","₹9,999"
"LAVA Z4 (Aqua Blue, 64 GB)","₹9,999"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹21,999"
"POCO C55 (Cool Blue, 64 GB)","₹9,499"
"LAVA Bold N1 5G (Champagne Gold, 128 GB)","₹8,996"
"OPPO A17 (Lake Blue, 64 GB)","₹9,999"
"Motorola g31 (Baby Blue, 64 GB)","₹9,066"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"Micromax IN Note 1 (Green, 128 GB)","₹9,499"
"POCO M2 Reloaded (Mostly Blue, 64 GB)","₹9,999"
"REDMI Note 8 Pro (Gamma Green, 64 GB)","₹9,499"
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹9,999"
"realme C30s (Stripe Black, 64 GB)","₹9,499"
"Samsung Galaxy A04 (Green, 64 GB)","₹9,899"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹9,999"
"Samsung Galaxy A06 (Light Blue, 64 GB)","₹8,499"
"Motorola E7 Plus (Misty Blue, 64 GB)","₹8,599"
"LAVA Blaze Dragon (Midnight Mist, 128 GB)","₹9,999"
"Samsung Galaxy A04 (Black, 64 GB)","₹9,490"
"Samsung Galaxy A03 (Blue, 32 GB)","₹9,999"
"LAVA Yuva 2 5G (Marble White, 128 GB)","₹8,499"
"GIONEE Max Pro (Red, 32 GB)","₹9,999"
"GIONEE Max Pro (Black, 32 GB)","₹9,999"
"Nokia C21 Plus (Warm Grey, 32 GB)","₹9,499"
"Infinix Hot 11 (Silver Wave, 64 GB)","₹9,999"
"POCO C65 (Pastel Green, 128 GB)","₹9,499"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999"
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹7,990"
"Infinix Smart 4 Plus (Violet, 32 GB)","₹9,990"
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999"
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","₹9,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹9,999"
"Samsung Galaxy A06 (Black, 128 GB)","₹9,999"
"Lenovo A6 Note (Blue, 32 GB)","₹9,999"
"REDMI 13C (Starfrost White, 128 GB)","₹9,999"
"Motorola g42 (Atlantic Green, 64 GB)","₹9,999"
"Infinix HOT 30i (Diamond White, 128 GB)","₹9,499"
"Redmi Note 5 Pro. (Black, 64 GB)","₹9,799"
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,999"
"hmd Crest 5G (Midnight Blue, 128 GB)","₹9,769"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,990"
"Redmi 8 (Ruby Red, 64 GB)","₹9,990"
"REDMI 9i (Nature Green, 64 GB)","₹9,999"
"REDMI 9i (Nature Green, 128 GB)","₹9,999"
"Shreyansh Mini 3.8 Inch IPS Display Screen Small Smartphone (Colour Depand On Stock) (Silver, 16 GB)","₹9,999"
"Motorola g42 (Metallic Rose, 64 GB)","₹9,999"
